학습자료명,페이지 번호,키워드명,파일명,목차명,확장자명,출처명,홈페이지주소,작성일자,데이터기준일자,제공기관코드,제공기관명
민주주의 이념과 원리,,민주주의 이념;민주주의 원리;조선 시대 천민들;존엄성;민주 정치의 기본 원리;국민주권;국민자치;입헌주의;권력분립;중학교 사회 정치 생활과 민주주의;민주주의 이념과 원리;고등학교 정,,,,,https://www.edunet.net/contsMvGllry/view/152/75050,,2025-04-21,B550629,한국교육학술정보원
법과 우리의 생활,,우리 생활과 법;법의 위계;헌법;민법;상법;형법;초등학교 6학년 사회 우리나라의 민주 정치;초6 사회 우리나라의 민주 정치,,,,,https://www.edunet.net/contsMvGllry/view/152/76698,,2025-04-21,B550629,한국교육학술정보원
국가 권력을 나누다-삼권 분립,,국가 권력;삼권 분립;국회의사당;대법원;청와대;초등학교 6학년 사회 우리나라의 민주 정치;초6 사회 우리나라의 민주 정치,,,,,https://www.edunet.net/contsMvGllry/view/152/1994230,,2025-04-21,B550629,한국교육학술정보원
국민의 권리와 의무,,국민의 권리;국민의 의무;자유권;평등권;참정권;청구권;사회권;교육의 의무;근로의 의무;납세의 의무;국방의 의무;환경 보전의 의무;권리와 의무의 균형;초등학교 6학년 사회 우리나라의,,,,,https://www.edunet.net/contsMvGllry/view/152/2004153,,2025-04-21,B550629,한국교육학술정보원
생활 속 민주주의,,민주주의;직접 민주주의;대의 민주주의;생활 속 민주주의;대화;토론;서로 다름에 대한 인정;소수의 의견 존중;초등학교 6학년 사회 우리나라의 민주 정치;초6 사회 우리나라의 민주 정,,,,,https://www.edunet.net/contsMvGllry/view/152/2011381,,2025-04-21,B550629,한국교육학술정보원
노동문제,,노동문제;실업 문제;노사 문제;비정규직 문제;노사갈등;정규직과 비정규직의 시간당 임금 차이;중학교 사회 현대 사회와 사회 문제;현대 사회의 문제와 해결;고등학교 법과정치 사회생활과,,,,,https://www.edunet.net/contsMvGllry/view/152/11271,,2025-04-21,B550629,한국교육학술정보원
일탈의 힘,,"일탈, 사회 변화",,,,,https://www.edunet.net/contsMvGllry/view/152/42915,,2025-04-21,B550629,한국교육학술정보원
모두가 해결해야 할 기아,,기아;식량농업기구;FAO;기아의 주요 원인;기아 상식;고등학교 한국지리 지역간 상호 의존;세계화와 지역 갈등,,,,,https://www.edunet.net/contsMvGllry/view/152/1965365,,2025-04-21,B550629,한국교육학술정보원
국제 환경 협약,,국제 환경 협약;람사르 협약;바젤협약;몬트리올 협약;습지;오존층;오존층 파괴;유해폐기물;사막화 방지 협약;교토 협약;지구 온난화;몰디브;중학교 사회 현대 사회와 사회 문제;미래사회,,,,,https://www.edunet.net/contsMvGllry/view/152/1995004,,2025-04-21,B550629,한국교육학술정보원
현대 사회의 변동,,"새로운 기술;다른 문화;전화기;정보혁명;산업화;방직 공억;증기기관;산업화 문제점;도시화;도시화의 문제점;세계화;정보화;스마트폰;초등학교 6학년 사회 정보화,세계화 그리고 우리;초6",,,,,https://www.edunet.net/contsMvGllry/view/152/92323,,2025-04-21,B550629,한국교육학술정보원
다문화 사회로의 변화,,다문화 사회;다문화;하모니 데이;호주;다문화가족 학업 중단 사유;초등학교 3학년 사회 함께 어울려 살아요;초3 사회 함께 어울려 살아요;중학교 사회 사회의 변동과 발전;한국 사회 ,,,,,https://www.edunet.net/contsMvGllry/view/152/2009637,,2025-04-21,B550629,한국교육학술정보원
인간의 사회화,,사회화;사회적 존재;사회화의 중요성;다양한 사회화;재사회화;사회화의 유형;사회화 기관;가정;학교;대중매체;중학교 사회 개인과 사회생활;고등학교 사회문화 개인과 사회 구조;개인의 사,,,,,https://www.edunet.net/contsMvGllry/view/152/14265,,2025-04-21,B550629,한국교육학술정보원
역할 갈등은 왜 일어날까,,역할 갈등;지위;역할;지위 무리;주 지위;여러 가지 사회적 지위;역할 갈등;역할 긴장;역할 모순;역할 갈등이 일어나는 이유;역할 갈등의 해결;중학교 사회 개인과 사회생활;고등학교 ,,,,,https://www.edunet.net/contsMvGllry/view/152/68751,,2025-04-21,B550629,한국교육학술정보원
사회 집단의 종류,,사회 집단;상호작용;공동체 의식;학자들이 분류한 사회 집단;준거 집단;중학교 사회 개인과 사회생활;고등학교 사회문화 개인과 사회 구조;사회집단에 대한 이해,,,,,https://www.edunet.net/contsMvGllry/view/152/1970240,,2025-04-21,B550629,한국교육학술정보원
신라의 해상무역,,신라;해상무역;처용;처용설화;서역인;교역의 흔적;황금 보검;천마총 유리잔;황남대총 유리잔;초등학교 5학년 사회 하나 된 겨레;초5 사회 하나 된 겨레;삼국의 성립과 발전;삼국 통일,,,,,https://www.edunet.net/contsMvGllry/view/152/36190,,2025-04-21,B550629,한국교육학술정보원
해동성국 발해,,해동성국;발해;도모산;고구려 계승;정혜공주의 묘;발해의 우수한 문화;연호 사용;초등학교 5학년 사회 하나 된 겨레;초5 사회 하나 된 겨레;삼국 통일과 발해;통일 신라와 발해 사람,,,,,https://www.edunet.net/contsMvGllry/view/152/51209,,2025-04-21,B550629,한국교육학술정보원
문화대국 백제,,문화대국;백제;백제 전성기;무령왕릉;백제 유물;무령왕릉 지석;금동 대향로;초등학교 5학년 사회 하나 된 겨레;초5 사회 하나 된 겨레;삼국의 성립과 발전,,,,,https://www.edunet.net/contsMvGllry/view/152/1979122,,2025-04-21,B550629,한국교육학술정보원
세계 여러 나라의 건국신화,,개천절;단군;건국신화;홍익인간;고조선;주몽;하늘의 자손;박혁거세;김수로왕;구지봉;단군왕검;세계 여러 나라의 건국신화;초등학교 5학년 사회 하나 된 겨레;초5 사회 하나 된 겨레;삼,,,,,https://www.edunet.net/contsMvGllry/view/152/2025460,,2025-04-21,B550629,한국교육학술정보원
힘찬 기상의 고구려,,고조건;고구려;태조;초등 5학년 2학기 사회; 사회 5학년 2학기;초5 사회;우리 역사의 시작과 발전;고조건;고구려;태조,,,,,https://www.edunet.net/contsMvGllry/view/152/2048827,,2025-04-21,B550629,한국교육학술정보원
고구려를 이어받은 발해,,대조영;발해;해동성국;고구려;초등 5학년 2학기 사회; 사회 5학년 2학기;초5 사회;우리 역사의 시작과 발전;대조영;발해;해동성국;고구려;고구려를 이어받은 발해,,,,,https://www.edunet.net/contsMvGllry/view/152/2048828,,2025-04-21,B550629,한국교육학술정보원
